"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","mean_plat","counting_colls$Coll_count","mean_Cpre","mean_Ctemp"
"37",7892,908.001553005642,69.6666666666667,27.7592589060466,5.09351852205065,967.367980957031,880.079772949219,87.2882080078125,59.1344444444444,7,1.46671836773749e-05,4.1696716308594
"38",7894,917.654235839844,73,26,4.15833330154419,917.654235839844,917.654235839844,0,58.89,1,1.40251040647854e-05,4.59670410156252
"39",8051,2469.9228515625,16,63.8333320617676,-1.40000009536743,2469.9228515625,2469.9228515625,0,59.56,6,1.29735726659419e-05,5.4461608886719
"40",8053,1275.98574961787,68.9855072463768,31.3586957074594,5.21292271821395,1347.01403808594,1241.34350585938,105.670532226562,59.3766176470588,23,1.36949468951035e-05,5.03921796013327
"41",8054,1127.40539550781,64,26.9166660308838,6.81666660308838,1127.40539550781,1127.40539550781,0,59.25,1,1.37470060508349e-05,5.01516113281252
"42",8057,914.685375072338,59.9135802469136,25.6687243190812,5.4985596574383,1035.71728515625,858.168579101562,177.548706054688,59.0425,20,1.43545958053437e-05,4.52425537109377
"43",8058,836.121948242188,73,24.4583330154419,5.77083325386047,849.243896484375,823,26.243896484375,58.845,2,1.43713141369517e-05,4.59894714355471
"44",8059,807.763181246244,62.3076923076923,26.0032049325796,6.26955140553988,845.59814453125,771.236328125,74.36181640625,58.475,8,1.40754445965285e-05,5.02822265625002
"45",8063,738.391031901042,55.3333333333333,26.0833333333333,6.16388893127441,778.526611328125,683.863220214844,94.6633911132812,57.95,3,1.3095675058139e-05,4.9326110839844
"46",8219,1274.52368164062,82.25,29.9583336512248,6.28750000397364,2016.33569335938,1165.87683105469,850.458862304688,58.9375,6,1.38689864191595e-05,6.15153910319015
"47",8220,1120.05874294705,61.6666666666667,26.2962958017985,6.98981486426459,1142.46411132812,1010.07312011719,132.390991210938,58.7888888888889,7,1.39325074997032e-05,6.1788269042969
"48",8224,791.118957519531,65,27.75,7.36666679382324,791.118957519531,791.118957519531,0,58.12,1,1.41257851282717e-05,5.45974121093752
"49",8231,678.556518554688,75,24.8333339691162,6.09999990463257,678.556518554688,678.556518554688,0,NA,1,NA,NA
"50",8385,1640.3124201848,79,35.9551274959858,4.23141025579893,1789.34265136719,1341.19482421875,448.147827148438,58.6369230769231,5,1.33685688034837e-05,6.99393615722659
"51",8386,1240.10421885615,68.2608695652174,25.1666664455248,7.33949269419131,1387.6201171875,1159.11083984375,228.50927734375,58.3014705882353,20,1.38178636595566e-05,6.31413825539983
"52",8389,977.9599609375,80,38.5833320617676,7.30833339691162,977.9599609375,977.9599609375,0,57.94,1,1.43102442962117e-05,6.90371093750002
