field_1,siteID,collection,lng,lat,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"45","14545","68013",-103.566000000000003,29.228999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.657589163842204,-707766.730177537188865,-1229306.725011214148253,-701229.867862032959238,-1222345.016087507829070
"46","14545","200396",-103.608999999999995,29.288000000000000,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",2793.899188225246235,-711236.157058993936516,-1222216.541449056472629,-711544.057262166170403,-1219439.660079812863842
"47","14546","189795",-103.117000000000004,29.100000000000001,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",13747.376001329901555,-666959.320120746269822,-1247359.279721714323387,-657412.664152739569545,-1237467.277560854097828
"48","14546","189815",-103.346000000000004,29.172999999999998,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",17178.256635235389695,-687727.321963367052376,-1237349.655014388961717,-690828.969344658660702,-1220453.729927311418578
"49","14546","200447",-103.206999999999994,29.340000000000000,"32533","450964","0",44.280000000000001,02_3794254,"2",02_48,Texas,U385,,State,Paved,"2","88","5",0.000000000000000,"0",51042.389709317481902,"1",820.667886497141239,-673279.838344480609521,-1219184.746561759384349,-672574.278853339958005,-1219603.890432511689141
"50","14545","222810",-103.637000000000000,29.225000000000001,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.461865825258428,-714431.208611782640219,-1229232.961052885046229,-718893.122859413851984,-1221332.389461071463302
"51","14546","189798",-103.087000000000003,29.408999999999999,"32533","450964","0",44.280000000000001,02_3794254,"2",02_48,Texas,U385,,State,Paved,"2","88","5",0.000000000000000,"0",51042.389709317481902,"1",4921.150670987713966,-661497.143089529825374,-1212108.043746567098424,-666400.904418081510812,-1211694.705193846486509
"52","14545","212185",-103.566000000000003,29.297999999999998,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",3183.264511831383516,-707133.614561966853216,-1221390.908865182660520,-706799.913358638179488,-1218225.183599278796464
"53","14545","109657",-103.566000000000003,29.228999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.657589163842204,-707766.730177537188865,-1229306.725011214148253,-701229.867862032959238,-1222345.016087507829070
"54","14545","90032",-103.504000000000005,29.302000000000000,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",296.351470902605740,-701314.720865670475177,-1221392.526972943451256,-701531.174193254555576,-1221594.942761072423309
