fid,field_1,collection_no,lat,lng,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"2128","2128","45894",49.076,-110.703,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",21854.568618293,-1011564.5234717,1150109.50932134,-1006549.96841931,1171381.00214902
"2128","2128","45894",49.076,-110.703,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",21854.568618293,-1011564.5234717,1150109.50932134,-1006549.96841931,1171381.00214902
"2129","2129","179241",50.728,-111.5,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",29544.7302893037,-1034347.76758146,1350223.59409611,-1052716.97286155,1327083.51230616
"2130","2130","45898",49.194,-110.734,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",8779.74703406539,-1011531.8083785,1164151.53269386,-1006549.96841931,1171381.00214902
"2130","2130","45898",49.194,-110.734,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",8779.74703406539,-1011531.8083785,1164151.53269386,-1006549.96841931,1171381.00214902
"2131","2131","45820",49.138,-110.848,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"1",18607.8227500094,-1020321.69083836,1158867.38040677,-1006549.96841931,1171381.00214902
"2131","2131","45820",49.138,-110.848,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"2",18607.8227500094,-1020321.69083836,1158867.38040677,-1006549.96841931,1171381.00214902
"2132","2132","67880",50.733,-110.075,"63206","29510","0",26.750000000000000,01_29510,"1",01_48,Alberta,"41",Highway 41,Provincial,Paved,"3","80","2",0.000000000000000,"0",42291.740753151236277,"1",388.774515433543,-939903.439003371,1335963.7887587,-939722.939826241,1335619.45509652
"2133","2133","179240",50.786,-111.351,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",39024.8643404756,-1023396.50271335,1355312.56654413,-1061837.3718607,1362038.60668591
"2134","2134","189514",50.813,-111.631,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",20349.746499031,-1041375.95605843,1361482.94839334,-1060513.44351887,1368401.67344037
