"","collection_no","collection_name","accepted_name","identified_rank","family","genus","formation","member","cells.1","Maas_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","MaasPrecip_1","MaasTemp_1"
"42",189812,"TMM 40610, Sierra Aguja (Needle Peak)","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"43",189814,"1.5 miles south of Wax Works (AMNH)","Panoplosaurus","genus","Nodosauridae","Panoplosaurus","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"44",189815,"12 miles west of Glenn Springs","Panoplosaurus","genus","Nodosauridae","Panoplosaurus","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"45",34827,"Pentaceratops site, Hunter Wash (KU)","Pentaceratops sternbergii","species","Ceratopsidae","Pentaceratops","Kirtland","",3035,0.949999988079071,1641.48107910156,8819.677734375,5.49999952316284,0.217530876398087,24.8893013000488,10.0155162811279,14866,1.82632702490082e-05,288.248321533203
"46",46991,"UNM V-144","Pentaceratops","genus","Ceratopsidae","Pentaceratops","Kirtland","",3035,0.949999988079071,1641.48107910156,8819.677734375,5.49999952316284,0.217530876398087,24.8893013000488,10.0155162811279,14866,1.82632702490082e-05,288.248321533203
"47",14495,"Pediomys Point, Colville River","Unnuakomys hutchisoni","species","Pediomyidae","Unnuakomys","Prince Creek","Kogosukruk Tongue",253,0.610000014305115,87.3199996948242,NA,64.5000152587891,NA,13.754298210144,-10.1873769760132,76,9.60968577601307e-07,264.892700195312
"48",55288,"TKM001, Elephant Butte","Theropoda","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"49",55289,"TKM007, Elephant Butte","Alamosaurus","genus","NO_FAMILY_SPECIFIED","Alamosaurus","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"50",55290,"TKM009, Elephant Butte","Sauropoda","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","McRae","Jose Creek",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"51",55291,"TKM002, Elephant Butte","Ceratopsidae","family","Ceratopsidae","","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"52",55292,"TKM020, Elephant Butte","Ceratopsidae","family","Ceratopsidae","","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"53",55293,"TKM011, Elephant Butte","Ankylosauria","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"54",68007,"LSUMG 113, Dawson Creek","Saurornitholestinae","subfamily","Dromaeosauridae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"55",68007,"LSUMG 113, Dawson Creek","Saurornitholestinae","subfamily","Dromaeosauridae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"56",68007,"LSUMG 113, Dawson Creek","Tyrannosauridae","family","Tyrannosauridae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"57",68007,"LSUMG 113, Dawson Creek","Paronychodon","species","NO_FAMILY_SPECIFIED","Paronychodon","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"58",68007,"LSUMG 113, Dawson Creek","Aves","class","","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"59",68007,"LSUMG 113, Dawson Creek","Albanerpetontidae","family","Albanerpetontidae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"60",68008,"LSUMG 741, Rattlesnake Mountain","Saurornitholestinae","subfamily","Dromaeosauridae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"61",68008,"LSUMG 741, Rattlesnake Mountain","Saurornitholestes langstoni","species","Dromaeosauridae","Saurornitholestes","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"62",68008,"LSUMG 741, Rattlesnake Mountain","Tyrannosauridae","family","Tyrannosauridae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"63",109657,"LSUMG 747, Rattlesnake Mountain","Ornithomimidae","family","Ornithomimidae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"64",109657,"LSUMG 747, Rattlesnake Mountain","Saurornitholestes","genus","Dromaeosauridae","Saurornitholestes","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"65",150883,"Rattlesnake Mountain (vertebrates, general)","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"66",150883,"Rattlesnake Mountain (vertebrates, general)","Ceratopsidae","family","Ceratopsidae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"67",150883,"Rattlesnake Mountain (vertebrates, general)","Dryptosaurus","genus","NO_FAMILY_SPECIFIED","Dryptosaurus","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"68",150883,"Rattlesnake Mountain (vertebrates, general)","Crocodylia","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"69",150883,"Rattlesnake Mountain (vertebrates, general)","Testudines","order","","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
