"","Group.1","cells.1","Camp_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","CampPrecip_1","CampTemp_1","CampTemp"
"33",2120,2120,0.629999995231628,1470.01037597656,6812.12353515625,89.0000076293945,0.172495171427727,34.8692741394043,6.38261985778809,11453.5,1.42180147122417e-05,279.331726074219,6.18172607421877
"34",2121,2121,0.810000002384186,988.4765625,4940.34033203125,90.9999923706055,0.252332836389542,32.2299842834473,6.48765993118286,11634.5,1.36903399834409e-05,279.291000366211,6.14100036621096
"35",2122,2122,0.959999978542328,882.369018554688,3694.65454101562,59.5,0.0883231312036514,29.4922885894775,6.76355981826782,11635.5,1.32770705931762e-05,278.782531738281,5.63253173828127
"36",2204,2204,0.519999980926514,1277.53967285156,4428.7646484375,75.2500076293945,0.347390294075012,34.1642112731934,6.04662609100342,11993.5,1.47031691994925e-05,280.66471862793,7.51471862792971
"37",2205,2205,0.529999971389771,1015.52581787109,5949.63134765625,58,0.118299148976803,31.1505222320557,7.10198450088501,11995,1.39731246235897e-05,280.295440673828,7.14544067382815
"38",2285,2285,0.0299999993294477,2069.37744140625,4315.50048828125,99,0.240084424614906,36.9210662841797,4.2549409866333,11989,1.53388664330123e-05,282.807769775391,9.65776977539065
"39",2286,2286,0.239999994635582,2264.83911132812,2973.4638671875,81.4999923706055,0.240153968334198,43.6653251647949,3.88052034378052,12172,1.54016552187386e-05,281.727905273438,8.57790527343752
"40",2292,2292,0.829999983310699,1030.38110351562,9834.5205078125,69.5,0.159937471151352,32.3641548156738,7.56572818756104,12899,1.61376601681695e-05,281.267959594727,8.11795959472659
"41",2371,2371,0.109999999403954,1416.75830078125,6815.2724609375,21.2499980926514,0.249161899089813,26.8506050109863,5.79686594009399,12713,1.63203094416531e-05,282.357238769531,9.20723876953127
"42",2372,2372,0.180000007152557,2703.0400390625,6851.1005859375,94.0000076293945,0.22471022605896,30.3398666381836,5.62323999404907,13074,1.65308429131983e-05,283.254547119141,10.1045471191406
"43",2453,2453,0,2162.63598632812,4222.22412109375,25.25,0.32247668504715,32.6392478942871,1.95840847492218,12710,1.78040281753056e-05,284.235473632812,11.0854736328125
"44",2454,2454,0.180000007152557,2172.86303710938,7524.80419921875,66.5000076293945,0.0645017102360725,24.196683883667,5.15902805328369,13073,1.71590727404691e-05,283.293792724609,10.1437927246094
"45",2455,2455,0.189999997615814,2033.95129394531,8621.8369140625,75.2499923706055,0.127634286880493,23.9339580535889,6.24280452728271,13254,1.69397599165677e-05,283.660659790039,10.5106597900391
"46",2521,2521,0,NA,15.3264722824097,0,NA,154.932357788086,11.209662437439,13056,3.83687984140124e-05,277.5537109375,4.40371093750002
"47",2538,2538,0.189999997615814,2002.58984375,9707.36328125,35.5,0.119446493685246,21.077169418335,5.82482528686523,13434,1.73486769199371e-05,284.066772460938,10.9167724609375
"48",2619,2619,0.850000023841858,2025.03979492188,9096.703125,18.5,0.118086747825146,19.1109390258789,4.86591339111328,13611,2.06516569960513e-05,285.568466186523,12.4184661865235
"49",2620,2620,0.990000009536743,2103.25463867188,9805.1748046875,21.2500019073486,0.0851456522941589,20.1995639801025,5.1093807220459,13792,1.99528876692057e-05,285.470520019531,12.3205200195313
