FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
174,175,Hadrosauridae,Middle Campanian,-110.76667000,50.04999900,-77.79480839,54.91185457
175,176,Hadrosauridae,Middle Campanian,-111.66666400,49.75000000,-78.89737333,54.76066721
176,177,Hadrosauridae,Middle Campanian,-112.51667000,51.38333100,-79.12013090,56.47628496
177,178,Hadrosauridae,Middle Campanian,-113.03934500,49.94543100,-80.31328463,55.16170879
178,179,Hadrosauridae,Middle Campanian,-113.88710000,53.34489800,-79.70553604,58.58553634
179,180,Hadrosauridae,Middle Campanian,-108.90972100,48.00694300,-76.62172472,52.63687562
180,181,Hadrosauridae,Middle Campanian,-110.61666900,48.95000100,-78.08605576,53.82066320
181,182,Hadrosauridae,Middle Campanian,-109.61916400,47.74027600,-77.48549881,52.48903111
182,183,Hadrosauridae,Middle Campanian,-109.61777500,47.73583200,-77.48570554,52.48449174
183,184,Hadrosauridae,Middle Campanian,-109.58969900,47.80820100,-77.42784519,52.55047388
184,185,Hadrosauridae,Middle Campanian,-109.58969900,47.80820100,-77.42784519,52.55047388
185,186,Hadrosauridae,Middle Campanian,-110.58329800,48.91669800,-78.06337021,53.78311063
186,187,Hadrosauridae,Middle Campanian,-110.58329800,48.93330000,-78.05670432,53.79923888
187,188,Hadrosauridae,Middle Campanian,-110.58329800,48.93330000,-78.05670432,53.79923888
188,189,Hadrosauridae,Middle Campanian,-109.29720300,46.46509900,-77.61477828,51.19762940
189,190,Hadrosauridae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
190,191,Hadrosauridae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
191,192,Hadrosauridae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
192,193,Hadrosauridae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
193,194,Hadrosauridae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
194,195,Hadrosauridae,Middle Campanian,-109.09999800,46.09999800,-77.53514065,50.81115576
195,196,Hadrosauridae,Middle Campanian,-109.90000200,46.20000100,-78.35604411,51.03337506
196,197,Hadrosauridae,Middle Campanian,-109.66333000,46.40000200,-78.03050095,51.19138758
