FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
166,167,Ceratopsidae,Late Maastrichtian,-107.31670400,47.61669900,-80.00634213,53.40302678
167,168,Ceratopsidae,Late Maastrichtian,-107.09999800,47.56670000,-79.78994153,53.31828318
168,169,Ceratopsidae,Late Maastrichtian,-107.09999800,47.56670000,-79.78994153,53.31828318
169,170,Ceratopsidae,Late Maastrichtian,-106.40000200,47.51670100,-79.04618891,53.15208158
170,171,Ceratopsidae,Late Maastrichtian,-106.38330100,47.59999800,-78.99319574,53.22991024
171,172,Ceratopsidae,Late Maastrichtian,-106.30000300,47.58330200,-78.90935659,53.19967547
172,173,Ceratopsidae,Late Maastrichtian,-107.25000000,47.54999900,-79.96104874,53.32724558
173,174,Ceratopsidae,Late Maastrichtian,-107.18332700,47.51670100,-79.90189747,53.28381991
174,175,Ceratopsidae,Late Maastrichtian,-106.91670200,47.53329800,-79.60339263,53.25516286
175,176,Ceratopsidae,Late Maastrichtian,-106.91670200,47.06670000,-79.79543033,52.80308383
176,177,Ceratopsidae,Late Maastrichtian,-106.26670100,47.59999800,-78.86607007,53.21021020
177,178,Ceratopsidae,Late Maastrichtian,-106.28330200,47.59999800,-78.88416555,53.21301628
178,179,Ceratopsidae,Late Maastrichtian,-107.05000300,47.51670100,-79.75603844,53.26146595
179,180,Ceratopsidae,Late Maastrichtian,-106.88330100,47.53329800,-79.56688600,53.24955084
180,181,Ceratopsidae,Late Maastrichtian,-106.88330100,47.53329800,-79.56688600,53.24955084
181,182,Ceratopsidae,Late Maastrichtian,-107.23333000,47.59999800,-79.92200178,53.37288663
182,183,Ceratopsidae,Late Maastrichtian,-107.00000000,47.51670100,-79.70135698,53.25307484
183,184,Ceratopsidae,Late Maastrichtian,-106.18329600,47.86669900,-78.66281048,53.45422444
184,185,Ceratopsidae,Late Maastrichtian,-106.09999800,47.79999900,-78.60026346,53.37557407
185,186,Ceratopsidae,Late Maastrichtian,-106.09999800,47.79999900,-78.60026346,53.37557407
186,187,Ceratopsidae,Late Maastrichtian,-106.19999700,47.63330100,-78.77941893,53.23116832
187,188,Ceratopsidae,Late Maastrichtian,-106.18329600,47.61669900,-78.76818065,53.21227247
188,189,Ceratopsidae,Late Maastrichtian,-101.50000000,46.90000200,-74.02033924,51.71203241
189,190,Ceratopsidae,Late Maastrichtian,-101.50000000,46.90000200,-74.02033924,51.71203241
