collection_no,siteID,bin_assignment,lat,lng,Distance
45670,7891,teyeq,49.082,-110.84,2383.667965
45671,7891,teyeq,49.075,-110.684,2191.117492
45671,7891,teyeq,49.075,-110.684,2191.117492
45674,7891,teyeq,49.078,-110.684,2155.834814
45674,7891,teyeq,49.078,-110.684,2155.834814
45675,7899,teyen,49.036,-106.597,1535.101363
45680,8053,teyeq,48.965,-112.664,619.9595497
45681,8053,teyeq,48.936,-112.642,728.0343653
45682,8053,teyeq,48.965,-112.708,317.875705
45683,7392,teyep,50.786,-111.477,3058.86772
45684,7391,teyep,50.728,-111.512,2910.25537
45718,11210,teyeo,39.199,-111.235,897.5778354
45719,11210,teyeo,39.228,-111.254,612.2780076
45720,11210,teyeo,39.214,-111.254,765.2711539
45721,11210,teyeo,39.17,-111.273,1305.959147
45722,11210,teyeo,39.183,-111.309,1293.599029
45724,11210,teyeo,39.214,-111.198,692.6484764
45730,7391,teyep,50.782,-111.597,2256.672162
45731,7392,teyep,50.745,-111.489,3021.907436
45732,7057,teyeo,51.615,-112.866,395.1613712
45733,7057,teyeo,51.63,-112.935,215.7648974
45752,7057,teyeo,51.805,-112.947,1480.973015
45753,7391,teyep,50.801,-111.604,2212.475882
45755,7391,teyep,50.809,-111.632,2033.623566
45756,7392,teyep,50.757,-111.487,3014.89578
45819,7891,teyeq,49.159,-110.722,1239.193869
45819,7891,teyeq,49.159,-110.722,1239.193869
45820,7891,teyeq,49.138,-110.848,1860.782275
45820,7891,teyeq,49.138,-110.848,1860.782275
45821,7891,teyeq,49.162,-110.719,1200.030979
45821,7891,teyeq,49.162,-110.719,1200.030979
45822,7891,teyeq,49.076,-110.701,2184.445457
45822,7891,teyeq,49.076,-110.701,2184.445457
45844,10385,teyen,41.568,-108.649,929.3727345
45845,10387,teyen,41.643,-107.649,787.4590456
45860,10384,teyep,41.867,-109.139,1593.838483
45861,10384,teyep,41.643,-109.225,27.67222899
45862,10384,teyep,41.717,-109.205,396.3597678
45863,10385,teyep,41.687,-108.764,133.0496017
45865,10385,teyep,41.711,-108.802,291.3310493
45866,10384,teyep,41.778,-109.197,841.4858789
45867,10384,teyep,41.598,-109.244,17.85571247
45868,10384,teyep,41.687,-109.205,223.3986056
45869,10384,teyep,41.628,-109.09,13.52307553
45870,11051,teyeq,39.937,-107.957,75.60812209
45871,11383,teyeq,38.945,-107.926,0.573516196
45876,7056,teyen,51.863,-113.005,1549.558629
45877,7056,teyen,51.877,-113.005,1549.273008
