"","cells","mean_max_ptemp","mean_min_ptemp","mean_max_pprec","mean_min_pprec","mean_PDEM","plat"
"93",290921,-513.272277832031,-546.074279785156,17535377408,5719713280,1200,45.3111
"94",290923,-514.37109375,-546.610229492188,19548061696,5761903616,1400,45.8832
"95",292581,-513.122619628906,-545.804565429688,17458900992,5565562368,1200,45.1214
"96",293419,-513.292053222656,-546.051452636719,17529622528,5569732608,1200,45.4864
"97",293420,-513.30126953125,-546.079956054688,17535500288,5610342400,1200,45.4885
"98",294242,-514.675537109375,-546.455810546875,20509177856,5690628608,1400,45.607609375
"99",294248,-513.513549804688,-546.076110839844,18053617664,5566974976,680,45.4427
"100",294251,-513.310424804688,-546.108459472656,17541376000,5650952192,1200,45.4069
"101",294253,-513.260070800781,-546.045166015625,17521721344,5676635136,1200,45.33414
"102",294254,-513.20654296875,-545.954650878906,17511747584,5666644992,1200,45.2777
"103",294257,-513.252075195312,-546.043884277344,17576056832,5803283456,1200,45.2906
"104",295066,-513.204711914062,-545.600463867188,17836046336,5332702208,680,45.0093
"105",295085,-513.158996582031,-545.865356445312,17517332480,5661591040,1200,45.1861
"106",296723,-513.846069335938,-545.569458007812,19296184320,5555646976,680,44.8438
"107",296742,-513.067993164062,-545.713439941406,17371250688,5421518848,1200,45.1113
"108",296745,-513.054321289062,-545.617065429688,17478567936,5569440768,1200,44.96
"109",297574,-513.010803222656,-545.554870605469,17396946944,5468895744,1200,44.9592
"110",297577,-513.118225097656,-545.601440429688,17611677696,5735141376,1200,44.8837
"111",306739,-513.089111328125,-544.943481445312,19629285376,6791154176,1040,43.1464
"112",309239,-512.974609375,-544.654296875,19775715328,6724073472,920,42.5656
"113",311715,-513.0380859375,-544.361877441406,19640051712,6780636672,1040,42.6218
"114",311724,-512.7744140625,-544.218627929688,19830083584,6667858944,1400,42.4723
"115",312544,-513.060791015625,-544.233764648438,19613566976,6814572544,920,42.5941
"116",312561,-512.543090820312,-543.846374511719,19513004032,6717903360,1400,42.1433
"117",328479,-514.290893554688,-542.224487304688,40824037376,21798719488,80,36.732
