"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Camp_terr_outcrop","Camp_all_outcrop","Cret_outcrop"
"75",239513,1395.19186401367,26.125,20.3611106872559,7.34444439411163,1407.66369628906,1355.45092773438,52.2127685546875,10,0.140000000596046,0.140000000596046,0.189999997615814
"76",241171,1261.97595214844,94,17.25,7.55000019073486,1261.97595214844,1261.97595214844,0,1,0,0,0
"77",241996,1524.6865234375,19,21.5833339691162,7.10833311080933,1524.6865234375,1524.6865234375,0,1,0.170000001788139,0.170000001788139,0.360000014305115
"78",246990,1859.2646484375,39,23.5,6.33333349227905,1859.2646484375,1859.2646484375,0,1,0,0,0
"79",250308,1923.42724609375,47,20.6666660308838,6.31666660308838,1923.42724609375,1923.42724609375,0,1,0.119999997317791,0.119999997317791,0.319999992847443
"80",259421,2172.65307617188,38,18.0833339691162,4.375,2172.65307617188,2172.65307617188,0,1,0.829999983310699,0.889999985694885,0.889999985694885
"81",268558,1874.41149902344,31,23.75,6.63333320617676,1874.41149902344,1874.41149902344,0,1,0,0,0
"82",271037,1522.58776855469,29,18.6666660308838,8.48333358764648,1522.58776855469,1522.58776855469,0,1,0.0299999993294477,0.28999999165535,0.28999999165535
"83",274371,2224.62841796875,97,35.25,5.33333301544189,2224.62841796875,2224.62841796875,0,2,0.200000002980232,0.579999983310699,0.579999983310699
"84",275174,2382.17138671875,94,29.5,5.48333311080933,2382.17138671875,2382.17138671875,0,1,0,0,0
"85",276002,1975.51748657227,55.25,25.9583334922791,7.61874997615814,1985.94799804688,1944.22595214844,41.7220458984375,3,0.529999971389771,0.550000011920929,0.730000019073486
"86",276831,2107.59903971354,60,27.2314819759793,7.00740761227078,2145.005859375,2096.91137695312,48.094482421875,2,0.140000000596046,1,1
"87",279319,2416.63598632812,79,29.75,5.34999990463257,2416.63598632812,2416.63598632812,0,1,0.409999996423721,0.439999997615814,0.889999985694885
"88",280149,2167.96215820312,62,24.75,6.875,2167.96215820312,2167.96215820312,0,1,0.379999995231628,0.689999997615814,0.779999971389771
"89",281819,1356.48388671875,14,15.1666669845581,11.5749998092651,1356.48388671875,1356.48388671875,0,1,0.0199999995529652,0.449999988079071,0.449999988079071
"90",282671,2077.12817382812,84,28.8333339691162,7.83333349227905,2077.12817382812,2077.12817382812,0,1,0.200000002980232,0.330000013113022,0.330000013113022
"91",290110,1755.04577636719,11,16.1666660308838,11.3666667938232,1755.04577636719,1755.04577636719,0,2,0,0.389999985694885,0.389999985694885
"92",290111,1859.22380873736,15.4411764705882,17.2279409240274,10.7887256005231,1954.83959960938,1729.92761230469,224.911987304688,15,0.150000005960464,0.810000002384186,0.810000002384186
"93",290921,1799.2451171875,31,24.4166660308838,9.99166679382324,1799.2451171875,1799.2451171875,0,1,0,0,0
"94",290923,1888.4912109375,58,25.9166660308838,8.80833339691162,1888.4912109375,1888.4912109375,0,1,0,0,0
