"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Maas_terr_outcrop","Maas_all_outcrop","Cret_outcrop"
"142",220470,858.468322753906,91,34,5.94166660308838,858.468322753906,858.468322753906,0,2,0,0,0
"143",220494,540.809448242188,94,34,6.08333349227905,540.809448242188,540.809448242188,0,1,0.879999995231628,0.879999995231628,0.879999995231628
"144",221262,890.317077636719,63,26,7.375,890.317077636719,890.317077636719,0,1,0,0.209999993443489,1
"145",221286,886.21484375,84,31.25,7.625,886.21484375,886.21484375,0,1,0,0,0
"146",221290,910.860229492188,77,30.9736842105263,7.49692972082841,946.547119140625,908.877624511719,37.6694946289062,4,0.939999997615814,0.959999978542328,0.959999978542328
"147",221291,882.154816418159,62.8048780487805,30.5142276577833,7.66869905518322,896.126403808594,866.884460449219,29.241943359375,5,0.680000007152557,0.680000007152557,0.680000007152557
"148",221292,858.794941057478,54.8285714285714,30.9912701016381,7.62190481821696,865.248107910156,854.12841796875,11.1196899414062,17,0.239999994635582,0.239999994635582,0.239999994635582
"149",221296,993.362609863281,91,33.5833320617676,6.70833349227905,993.362609863281,993.362609863281,0,3,0,0,0
"150",222064,1307.4013671875,73,30,7.01666688919067,1307.4013671875,1307.4013671875,0,1,0.119999997317791,0.75,0.970000028610229
"151",222087,872.472290039062,64,28.3333339691162,7.93333339691162,872.472290039062,872.472290039062,0,5,0.419999986886978,0.620000004768372,0.620000004768372
"152",222094,788.163146972656,63,26.3333339691162,8.07499980926514,788.163146972656,788.163146972656,0,1,0.720000028610229,0.720000028610229,0.720000028610229
"153",222109,857.993591308594,67,29.3333339691162,8.36666679382324,857.993591308594,857.993591308594,0,1,0,0,0
"154",222116,921.935791015625,91,32,7.77499961853027,921.935791015625,921.935791015625,0,3,0,0,0
"155",222118,959.755065917969,87,31.75,7.72499990463257,959.755065917969,959.755065917969,0,1,0.349999994039536,0.379999995231628,0.379999995231628
"156",222121,851.363549804688,87.6,31.066667175293,7.73666687011719,853.758483886719,841.783813476562,11.9746704101562,3,0.740000009536743,0.779999971389771,0.779999971389771
"157",222123,896.20458984375,73,31.75,7.29166698455811,896.20458984375,896.20458984375,0,5,0.0700000002980232,0.0700000002980232,0.0700000002980232
"158",222952,901.000649192116,64.8181818181818,31.0530303608287,7.53636351498691,913.386291503906,899.762084960938,13.6242065429688,2,0.600000023841858,0.600000023841858,0.600000023841858
"159",222953,916.234295654297,60,31.7666666030884,7.39249982833862,919.671203613281,915.852416992188,3.81878662109375,5,0.180000007152557,0.180000007152557,0.180000007152557
"160",223713,1804.19287109375,97,38.9166679382324,4.64166641235352,1804.19287109375,1804.19287109375,0,2,0,0,0.0299999993294477
"161",223783,963.690863715278,61.0694444444444,32.6649318271213,7.19131938285298,984.246337890625,963.547119140625,20.69921875,18,0.490000009536743,0.490000009536743,0.490000009536743
"162",223787,881.779907226562,90,33.25,6.68333339691162,881.779907226562,881.779907226562,0,1,0,0,0
"163",223814,495.433471679688,81,31.3333339691162,6.83333349227905,495.433471679688,495.433471679688,0,1,0.529999971389771,0.529999971389771,0.529999971389771
"164",224542,1708.42687988281,97,38.1666679382324,5.19166660308838,1708.42687988281,1708.42687988281,0,2,0,0,0
"165",224574,914.174865722656,63,32.5833320617676,8.35833358764648,914.174865722656,914.174865722656,0,1,0.699999988079071,0.850000023841858,0.850000023841858
"166",224601,879.431762695312,70,30.4166660308838,8.32499980926514,879.431762695312,879.431762695312,0,2,0.689999997615814,0.689999997615814,0.689999997615814
"167",224611,902.503573947483,72.4545454545455,30.0042087092544,7.63434330622355,911.875549316406,894.976013183594,16.8995361328125,10,0.579999983310699,0.639999985694885,0.639999985694885
"168",224613,972.476379394531,64,32.1666679382324,7.17500019073486,972.476379394531,972.476379394531,0,1,0.800000011920929,0.800000011920929,0.800000011920929
"169",224619,865.760864257812,88,33.5833320617676,6.84166669845581,865.760864257812,865.760864257812,0,1,0,0,0
"170",224635,692.193176269531,89,33.9166679382324,6.73333358764648,692.193176269531,692.193176269531,0,1,0.310000002384186,0.310000002384186,0.310000002384186
"171",225432,959.697570800781,48.5,31.6666669845581,7.98124992847443,967.025817871094,937.712829589844,29.31298828125,2,0.899999976158142,0.899999976158142,0.899999976158142
"172",225435,1062.32458496094,90.5555555555556,35.907408396403,8.31944433848063,1063.47985839844,1062.18017578125,1.2996826171875,2,0,0,0
"173",225441,914.126586914062,77,30.5,7.56666660308838,914.126586914062,914.126586914062,0,1,0.889999985694885,0.889999985694885,0.889999985694885
"174",225443,948.351877065805,71.6923076923077,31.5256410745474,7.16346150178176,953.808532714844,947.897155761719,5.911376953125,2,0.939999997615814,0.939999997615814,0.939999997615814
"175",226261,951.402503380409,50.7948717948718,30.3888882857103,8.17350453596849,954.44140625,899.130004882812,55.3114013671875,5,0.939999997615814,0.939999997615814,0.939999997615814
"176",226262,948.577575683594,79,31.4999995231628,8.07291698455811,957.290466308594,922.438903808594,34.8515625,2,1,1,1
"177",226263,1059.48068237305,87.5,32.6249990463257,8.15416669845581,1169.53894042969,949.422424316406,220.116516113281,2,0.939999997615814,0.939999997615814,0.939999997615814
"178",226275,901.981323242188,90,32.3333320617676,7.29999971389771,901.981323242188,901.981323242188,0,1,0.300000011920929,0.300000011920929,0.300000011920929
"179",226290,700.965087890625,74,35.6666679382324,7.15833330154419,700.965087890625,700.965087890625,0,1,0.379999995231628,0.379999995231628,0.379999995231628
"180",226299,609.045776367188,88,35,7,609.045776367188,609.045776367188,0,1,0.730000019073486,0.730000019073486,0.730000019073486
"181",227033,1642.29357910156,96,39.3333320617676,5.84166669845581,1642.29357910156,1642.29357910156,0,1,0,0,0.170000001788139
"182",227090,931.683893377131,74.3939393939394,29.8232328819506,8.08737347342751,932.548461914062,925.415771484375,7.1326904296875,2,0.819999992847443,0.819999992847443,0.819999992847443
"183",227103,970.740051269531,72,31.8333339691162,7.40833330154419,970.740051269531,970.740051269531,0,1,0.980000019073486,0.980000019073486,0.980000019073486
"184",227104,924.116734095982,63.4285714285714,32.5952393668039,7.28452369144985,954.564819335938,911.9375,42.6273193359375,3,0.879999995231628,0.879999995231628,0.879999995231628
"185",227106,883.144104003906,87,32.5,7.19166660308838,883.144104003906,883.144104003906,0,1,0.959999978542328,0.959999978542328,0.959999978542328
"186",227126,602.566284179688,89,35,7.33333349227905,602.566284179688,602.566284179688,0,1,0.790000021457672,0.790000021457672,0.790000021457672
"187",227127,639.159973144531,87,35.75,7.125,639.159973144531,639.159973144531,0,1,0.779999971389771,0.779999971389771,0.779999971389771
"188",227919,1013.01080322266,81,29.6666660308838,7.74166679382324,1013.01080322266,1013.01080322266,0,1,0.0799999982118607,0.0799999982118607,0.0799999982118607
"189",227921,931.798095703125,73,29.6666660308838,7.875,931.798095703125,931.798095703125,0,1,0.819999992847443,1,1
"190",227929,1059.30163574219,58,30.1666660308838,7.55000019073486,1059.30163574219,1059.30163574219,0,1,0.730000019073486,0.730000019073486,0.730000019073486
"191",227935,891.602661132812,81.5,32.7083339691162,7.23333334922791,906.390258789062,876.815063476562,29.5751953125,2,0.479999989271164,0.479999989271164,0.479999989271164
